,start_pin,destination_pin,travel_distance,Quantity (In TON),amount
472,583275,683101,855,1437.8,706845484.8
473,585211,410218,550,29.48,317723.64
474,585211,411041,440,34.36,185159.17
475,585211,412105,441,29.24,228305.91999999998
476,585211,412207,441,34.4,537190.4
477,585211,412219,371,4107.42,13143744.0
478,585211,416006,348,30.16,220168.19
479,585211,515321,522,26.0,180437.5
480,585211,580025,369,35.12,259888.0
481,585222,402304,604,31.97,242972.01
482,585222,410206,559,34.96,1678080.0
483,585222,410401,497,128.8,1004640.0
484,585222,410506,485,34.73,271171.83999999997
485,585222,410507,485,34.76,271406.08
486,585222,411046,454,34.85,272108.8
487,585222,412101,471,30.16,235489.28
488,585222,412201,427,35.19,105570.0
489,585222,412207,434,30.37,237128.96
490,585222,412219,380,16.38,52416.0
491,585222,412219,380,30.49,195136.0
492,585222,412219,380,33.78,108096.0
493,585222,412219,380,43.49,139168.0
494,585222,415304,400,19.0,140979.38999999998
495,585222,416102,397,34.96,255208.0
496,585222,431005,482,32.62,238126.01
497,585222,431721,388,10.0,73600.0
498,585222,503224,344,10.0,331999.65
499,585222,515871,335,5.0,41000.0
500,585222,516001,433,1.0,4096.0
501,585222,517247,571,4.0,29200.0
502,585222,522437,365,6.44,26378.239999999998
503,585222,522437,365,35.59,145776.64
504,585222,577301,507,35.0,566999.37
505,585222,583137,381,5.0,39500.0
506,585222,591124,392,31.0,452600.0
507,585222,591201,348,16.0,153600.0
508,585222,591317,332,21.0,777000.05
509,585225,403001,521,25.94,150410.5
510,585225,403001,521,32.76,189955.58
511,585225,590003,372,12.0,90000.0
512,585292,410218,558,1910.55,8498884.51
513,585292,413105,325,392.4,4963517.21
514,585292,416220,482,30.0,5803452.7700000005
515,585305,396230,759,24.5,205799.97999999998
516,585320,403206,577,36.68,278769.0
517,585320,413111,347,29.47,215131.0
518,585320,415406,499,35.11,256303.0
519,585320,503217,340,28.0,199835.0
520,587122,412101,458,30.0,1368000.0
521,587122,414001,436,30.0,435000.0
522,587122,415604,365,30.0,236292.0
523,587122,570019,587,38.0,770497.46
525,587122,575011,496,32.0,1769600.0
528,590016,560079,515,27.0,178199.04
529,591136,412115,375,29.78,232522.0
530,591136,412203,420,30.0,936960.0
531,591136,574229,571,39.7,603440.0
532,591136,577436,350,23.0,122470.4
533,591136,581320,358,30.0,261000.0
534,621651,515133,512,12.5,196250.0
535,621651,517325,431,36.0,537865.09
536,621651,600052,338,39.68,269824.0
537,621651,670561,519,34.82,306416.0
538,621704,690523,487,37.0,935293.25
539,621705,626205,316,24.06,138011.0
540,621705,626205,316,24.22,112594.0
541,621705,626205,316,33.7,193308.0
542,621705,626205,316,36.56,169960.0
543,621705,626205,316,38.16,177399.0
544,621705,626205,316,39.56,594735.0
545,621705,635119,318,40.02,280140.0
546,621705,670561,553,40.04,352352.0
547,621707,628008,321,43.46,625824.0
548,621707,686631,411,25.0,1081047.03
549,621713,560091,407,10.0,154600.0
550,621713,641305,307,13.0,58589.57
551,621713,673631,449,0.25,1499.38
552,621713,673631,449,25.0,153137.28
553,621713,679331,436,30.0,1080000.0
554,621713,686518,391,15.0,135000.0
555,621729,626127,317,42.84,225261.29
556,621729,626127,317,44.7,331602.48
557,621730,577598,530,5.0,34300.01
558,621730,638451,375,5.0,42000.0
559,621730,641016,315,25.0,561458.75
560,621730,641062,308,5.0,38000.0
561,621730,642122,310,39.0,182972.4
562,621730,676510,474,5.6,38080.0
563,621730,676541,482,35.34,228053.25999999998
564,621730,686693,513,37.58,323188.01
565,621730,695104,581,38.76,255816.0
566,624703,560081,319,40.55,240613.08000000002
567,624703,573132,610,10.0,131484.37
568,624703,623539,305,10.0,86000.0
569,624703,689581,307,34.69,277520.0
570,626205,636015,321,32.65,242393.6
571,627352,610001,388,45.0,378000.0
572,628002,685587,327,30.0,594001.92
573,628002,609810,369,25.0,180000.0
574,631004,636005,324,26.0,140765.0
575,631004,641608,426,26.0,120290.0
576,637303,673585,328,21.0,163800.01
577,637303,691506,456,5.0,62000.0
578,641202,671541,382,25.0,275200.0
579,676553,560100,357,21.0,65100.0
580,721147,825412,321,10.0,734836.24
581,721301,742134,307,25.0,129500.0
582,722183,781001,925,444.3,6646728.0
583,735211,732101,342,16.4,49200.0
584,742212,781315,571,539.0,3622080.0
585,742227,781315,635,249.6,2064585.77
586,743503,736182,762,24.5,489216.0
587,751006,768104,335,28.0,826560.0
588,754029,762105,323,15.0,141899.52
589,768202,754142,443,34.39,233852.02000000002
590,770017,734007,978,131.8,2121454.14
591,770017,762001,335,10.0,103250.0
592,770017,827014,354,41.75,158567.71000000002
593,770017,841428,716,120.8,1743384.3800000001
594,770018,755026,341,30.31,201743.36
595,781022,786154,524,10.0,99400.06
596,781022,787056,414,10.0,99600.0
597,781023,785640,347,23.0,237360.0
598,781031,787034,401,25.0,2272500.09
599,782140,786103,335,17.5,172200.01
600,782402,791111,316,6.5,67859.99
601,782446,787055,318,24.5,247450.0
602,782480,797114,318,9.0,1.28
603,784103,790104,305,14.0,311498.13
604,791002,791110,419,12.0,218683.4
605,793101,786010,444,10.0,278400.0
606,793210,735102,616,35.16,652757.28
607,793210,782140,324,25.34,145958.4
608,793210,799108,341,25.0,248500.16
609,793210,799284,321,25.0,265000.0
610,802158,813207,314,9.85,89832.01
611,804426,801413,500,12.0,105600.4
612,811308,835303,305,35.0,222600.0
613,821101,855107,603,55.0,443520.0
614,821105,226019,465,30.0,486005.76
615,827014,802114,369,35.0,241500.0
616,827014,822121,349,25.0,1092500.0
617,831016,815317,320,15.0,592502.5
618,831016,851205,514,395.4,3578211.84
619,833210,734008,647,524.2,2683904.0
620,833210,811211,433,15.0,229799.68
621,848130,855113,339,29.0,232579.82
622,855107,833210,551,8.0,40960.0
623,999999,232101,350,44.16,163392.0
624,999999,232101,480,29.33,143992.0
625,999999,232101,480,55.47,272325.0
626,121001,226010,553,80.0,1998848.0
627,123305,142033,358,15.0,125400.0
628,124106,142001,430,42.0,394884.0
629,124106,176309,735,15.0,354000.0
630,124106,248009,377,42.0,285600.0
631,124146,143001,513,14.0,168700.12
632,132041,306101,618,42.0,894599.9
633,140113,122001,335,57.0,235481.54
634,140113,182204,617,23.66,156156.0
635,140113,182204,617,23.71,156486.0
636,140113,182204,617,32.64,479808.0
637,140113,182204,617,33.04,241192.0
638,140114,180012,320,132.0,578430.34
639,143001,110044,476,30.0,579840.0
640,146111,192101,432,12.5,222750.0
642,175018,194401,905,8.0,68000.0
643,184101,185101,326,20.0,144000.0
644,192101,194101,725,16.5,143550.0
645,201008,226301,522,23.5,317720.0
646,203205,209625,400,5.0,116320.0
647,203205,212651,557,36.0,270720.0
648,203205,225403,610,10.0,76200.01
649,203205,262001,301,25.0,1060000.0
650,206247,281203,345,12.5,206000.0
651,210341,224190,385,7.5,125100.02
652,210431,227409,342,15.0,132076.0
653,211011,274301,369,38.8,377446.4
654,212107,226029,315,10.0,164000.0
655,212107,284002,470,30.0,884400.4
656,221110,713362,476,60.38,347788.8
658,229303,273303,356,6.0,48840.0
659,229303,274702,377,12.0,88800.0
660,229303,282006,393,30.0,2398523.4
661,231207,801305,398,38.01,132919.45
662,231311,261001,539,42.0,764530.2
663,244001,221001,776,14.0,105493.0
664,249202,246422,302,7.5,69000.0
665,273308,734005,741,41.72,214140.42
666,282004,247667,400,25.0,687499.99
667,284121,241001,353,260.6,2570558.4
668,303108,247667,392,40.38,847243.5
669,303108,328041,340,15.0,126000.0
670,305901,203205,518,46.08,206438.4
671,305901,208001,733,62.9,764864.0
672,305901,226001,758,593.1,39666528.0
673,305901,261001,806,316.5,1924320.0
674,305901,282001,428,65.9,801344.0
675,305901,282001,428,395.4,9616128.0
676,305901,301707,388,44.45,933450.0
677,305901,301707,388,45.11,157885.0
678,305901,301707,388,46.71,326970.0
679,305901,326001,362,9.0,69660.16
680,305901,326515,354,20.0,154799.54
681,305901,327001,370,5.0,70000.0
682,305901,456771,436,30.0,182400.0
683,306101,123106,403,41.0,295200.0
684,306101,132101,543,41.5,290499.37
685,306101,344011,449,15.0,105000.0
686,306107,127306,419,20.0,176800.0
687,306107,131402,477,41.5,302949.68
688,306107,132105,527,1082.2,4848256.0
689,306107,136156,630,42.0,384720.0
690,306107,140507,663,34.5,248400.0
691,306107,148109,570,25.0,456000.0
692,306107,301411,384,30.0,737400.3200000001
693,306107,301707,386,44.48,1245440.0
694,306107,321022,416,37.0,321160.01
695,306107,335804,418,47.33,993930.0
696,306107,335804,418,47.68,500640.0
697,306107,335804,418,48.09,168315.0
698,306107,344001,338,20.0,628399.36
699,306107,345001,426,35.0,744799.69
700,306107,345028,366,30.0,238200.32
701,306107,465441,470,20.0,286400.0
702,306308,110041,524,42.06,294419.58
703,306308,127306,471,38.32,129616.0
704,306308,321409,404,13.0,203840.16
705,306709,121001,494,45.0,648000.0
706,306709,125120,502,30.0,258600.0
707,306709,132107,591,42.0,4877107.2
708,306709,201008,572,42.0,2937446.4
709,306709,201008,572,42.22,442924.98
710,306709,201308,515,43.0,1526500.0
711,306709,203207,576,43.58,808237.48
712,306709,303108,352,41.72,283696.0
713,306709,303108,352,45.0,246112.02
714,306709,345001,458,41.07,204528.87
715,306709,385340,487,37.0,899100.0
716,306709,457772,480,41.0,308320.0
717,307019,123305,668,3961.76,11934722.76
718,307019,342301,374,30.0,246599.97999999998
719,307019,364240,419,34.6,242200.0
720,307019,370110,402,26.0,182000.0
721,307031,388245,354,35.11,293976.20999999996
722,312021,283125,561,42.5,1014900.0
723,312021,333042,391,12.0,99840.0
724,312021,382210,400,42.32,300472.0
725,312021,385340,429,21.0,318276.0
726,312021,387130,392,39.79,557060.0
