,start_pin,destination_pin,travel_distance,quantity_tons,period,nifty_infra_price,amount
6556,312601,321608,466,46.0,September 2023,6242.85,301392.0
6557,312601,333001,516,45.63,August 2023,5947.0,249539.0
6558,312601,342301,547,12.5,September 2023,6242.85,70313.0
6559,312601,344032,469,42.0,September 2023,6242.85,516936.0
6560,312601,344501,672,25.0,September 2023,6242.85,150781.0
6561,312601,344704,472,6.0,September 2023,6242.85,76594.0
6562,312601,362266,797,25.0,September 2023,6242.85,113086.0
6563,312601,382110,416,44.49,September 2023,6242.85,250256.0
6564,312601,382110,416,44.88,August 2023,5947.0,259463.0
6565,312601,382355,366,44.97,September 2023,6242.85,187715.0
6566,312601,382355,366,45.4,August 2023,5947.0,2462885.0
6567,312601,389320,417,44.42,September 2023,6242.85,253333.0
6568,312601,393001,577,39.36,September 2023,6242.85,221400.0
6569,312601,394516,655,44.38,September 2023,6242.85,263506.0
6570,312617,301701,470,39.75,August 2023,5947.0,201855.46
6571,312617,303012,363,38.68,August 2023,5947.0,187356.24
6572,312617,303012,363,44.45,September 2023,6242.85,215304.68
6573,312617,303305,384,44.21,August 2023,5947.0,212069.84
6574,312617,321001,529,42.7,September 2023,6242.85,2852693.55
6575,312617,322030,392,15.0,August 2023,5947.0,87187.5
6576,312617,331507,408,14.0,September 2023,6242.85,87500.0
6577,312617,332027,457,10.0,September 2023,6242.85,225745.32
6578,312617,334302,512,10.0,August 2023,5947.0,3160625.0
6579,312617,335804,676,25.0,September 2023,6242.85,161718.75
6580,312617,342303,407,25.0,August 2023,5947.0,306640.63
6581,312617,344032,461,43.88,September 2023,6242.85,246825.0
6582,312617,344702,542,6.5,August 2023,5947.0,41437.5
6583,312617,344702,542,22.5,August 2023,5947.0,144492.19
6584,312617,388255,360,42.95,August 2023,5947.0,127425.35
6585,312617,388255,360,43.64,August 2023,5947.0,258944.92
6586,312617,396463,665,42.0,August 2023,5947.0,945000.0
6587,312617,461111,565,34.0,September 2023,6242.85,364968.75
6588,312620,110041,620,42.02,August 2023,5947.0,223231.25
6589,312620,122004,567,42.1,September 2023,6242.85,233523.44
6590,312620,122105,551,18.5,August 2023,5947.0,121695.31
6591,312620,125075,839,15.0,September 2023,6242.85,96328.13
6592,312620,127306,567,40.02,September 2023,6242.85,370385.16
6593,312620,140603,841,43.5,September 2023,6242.85,305859.38
6594,312620,282009,586,44.56,September 2023,6242.85,243687.5
6595,312620,385565,420,42.0,August 2023,5947.0,3993884.92
6596,312620,388255,363,39.98,September 2023,6242.85,126968.08
6597,312620,388255,363,42.2,September 2023,6242.85,268036.68
6598,312620,394125,598,40.53,September 2023,6242.85,309243.9
6599,312620,394510,660,42.65,September 2023,6242.85,246570.31
6600,312620,394510,660,43.83,August 2023,5947.0,135215.55
6601,312620,473793,490,20.0,September 2023,6242.85,112500.0
6602,312620,477447,616,20.0,August 2023,5947.0,108750.0
6603,312622,121102,593,1374.9,September 2023,6242.85,9682719.51
6604,312622,182204,1349,301.5,September 2023,6242.85,1884375.0
6605,312622,185131,1362,197.7,September 2023,6242.85,1204734.38
6606,312622,304001,319,42.0,September 2023,6242.85,3485832.42
6607,312622,326037,348,35.0,September 2023,6242.85,614687.85
6608,313001,335001,813,6.0,August 2023,5947.0,32625.0
6609,313022,123305,614,42.42,September 2023,6242.85,814461.66
6610,313022,142038,942,61.42,September 2023,6242.85,264106.0
6611,313022,142042,1048,64.78,September 2023,6242.85,226730.0
6612,313022,151301,911,41.28,August 2023,5947.0,288960.0
6613,313022,151301,911,59.92,September 2023,6242.85,209720.0
6614,313022,335001,881,15.0,September 2023,6242.85,49192.35
6615,313022,341001,414,25.0,August 2023,5947.0,288281.22
6616,323603,457001,456,396.0,August 2023,5947.0,2978179.78
6617,326520,202002,615,2480.31,August 2023,5947.0,9834528.36
6618,326520,251001,766,65.9,September 2023,6242.85,1251441.0
6619,326520,305001,348,63.42,August 2023,5947.0,267554.0
6620,327025,305002,403,7.0,August 2023,5947.0,39200.0
6621,327025,343027,424,35.0,August 2023,5947.0,402303.13
6622,327025,363641,512,35.0,August 2023,5947.0,995312.5
6623,327025,384240,321,15.0,August 2023,5947.0,748490.66
6624,334601,342602,307,2.0,September 2023,6242.85,34607.88
6625,335804,143102,367,45.86,August 2023,5947.0,265128.13
6626,335804,177203,394,20.0,August 2023,5947.0,117187.0
6627,335804,327021,829,5.0,August 2023,5947.0,417265.92
6628,341026,201306,592,40.9,August 2023,5947.0,226867.19
6629,341026,303002,304,33.84,September 2023,6242.85,169200.0
6630,341026,322230,422,17.0,September 2023,6242.85,2055937.36
6631,341026,335524,325,34.0,September 2023,6242.85,834062.5
6632,342606,160101,814,20.0,September 2023,6242.85,228038.45
6633,342606,364001,681,26.0,August 2023,5947.0,348437.96
6634,342606,415001,1276,18.0,August 2023,5947.0,233823.65
