,start_pin,destination_pin,travel_distance,Quantity (In TON),period,nifty_infra_price,amount,distance_per_ton,route_frequency,avg_route_price,period_dt,year,month,month_sin,month_cos
57,345,74,399,42.0,November 2023,6585.6,4014934.0,9.5,4,1170971.5,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
58,345,79,386,21.0,November 2023,6585.6,143719.0,18.38095238095238,5,238181.3,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
59,345,161,597,41.73,October 2023,6095.4,469462.35,14.306254493170382,6,593958.8483333334,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
60,345,165,541,44.64,November 2023,6585.6,312480.0,12.119175627240143,39,71265225.08256412,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
61,345,165,552,45.48,November 2023,6585.6,159180.0,12.137203166226914,39,71265225.08256412,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
62,345,165,552,47.72,October 2023,6095.4,167020.0,11.5674769488684,39,71265225.08256412,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
63,345,186,644,35.0,October 2023,6095.4,166250.0,18.4,1,166250.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
64,345,187,672,45.16,October 2023,6095.4,254025.0,14.88042515500443,6,468212.865,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
65,345,225,671,22.5,October 2023,6095.4,163125.0,29.822222222222223,3,300468.75333333336,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
66,345,325,614,45.8,October 2023,6095.4,261203.14,13.406113537117905,1,261203.14,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
67,345,363,637,45.0,October 2023,6095.4,213750.0,14.155555555555555,1,213750.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
68,345,536,520,42.0,November 2023,6585.6,1995000.0,12.380952380952381,5,3894254.0640000002,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
