start_pin,destination_pin,bharat_sir_eway_data_oct23_nov23_020424.origin_from_state,bharat_sir_eway_data_oct23_nov23_020424.destination_from_state,bharat_sir_eway_data_oct23_nov23_020424.rtn_period,travel_distance,bharat_sir_eway_data_oct23_nov23_020424.transport_mode,bharat_sir_eway_data_oct23_nov23_020424.hsn_code_4d,quantity,bharat_sir_eway_data_oct23_nov23_020424.unit_quantity_code,Quantity (In TON),amount,bharat_sir_eway_data_oct23_nov23_020424.total_tax,bharat_sir_eway_data_oct23_nov23_020424.ewbs_count,bharat_sir_eway_data_oct23_nov23_020424.supplier_gstin_cnt,Cost pre Km per TON
312601,343022,8,8,202310,420,1,@2523,6,MTS,6,156563,43837.52,4,1,62.1281746
312601,343024,8,8,202310,301,1,@2523,14,MTS,14,355908,99653.76,4,1,84.45847176
312601,380002,8,24,202311,385,1,@2523,25.43,MTS,25.43,139070,38939.69,1,1,14.20451354
312601,380002,8,24,202310,385,1,@2523,29.8,MTS,29.8,162969,45631.25,1,1,14.20456724
312601,380002,8,24,202310,385,1,@2523,30.48,MTS,30.48,166688,46672.5,1,1,14.20458806
312601,382110,8,24,202311,416,1,@2523,44.68,MTS,44.68,261797,73303.13,1,1,14.08504278
312601,382440,8,24,202311,397,1,@2523,44.42,MTS,44.42,485844,136036.26,2,1,27.55039201
312601,389320,8,24,202310,417,1,@2523,41.67,MTS,41.67,237649,66541.78,1,1,13.67654616
312601,394516,8,24,202310,655,1,@2523,40.92,MTS,40.92,246159,68924.63,1,1,9.184146314
312617,125121,8,6,202310,708,1,@2523,45,TON,45,322031.24,90168.76,2,1,10.10769743
312617,302026,8,8,202311,328,1,@2523,44.74,TON,44.74,230690.62,64593.38,1,1,15.72027405
312617,302029,8,8,202310,341,1,@2523,44.24,TON,44.24,235025,65807,1,1,15.57917889
312617,331023,8,8,202311,594,1,@2523,10,TON,10,65937.5,18462.5,1,1,11.10058923
312617,331023,8,8,202311,594,1,@2523,32,TON,32,216000,60480,1,1,11.36363636
312617,335062,8,8,202311,774,1,@2523,45,TON,45,232031.24,64968.76,1,1,6.661821418
312617,370105,8,24,202311,655,1,@2523,39.1,TON,39.1,216882.81,60727.19,1,1,8.468511353
312620,121003,8,6,202310,608,1,@2523,41.5,TON,41.5,233437.5,65362.5,1,1,9.251644737
312620,125113,8,6,202310,732,1,@2523,35,TON,35,238437.5,66762.5,1,1,9.306693989
312620,126113,8,6,202310,690,1,@2523,43,TON,43,459562.5,128677.5,2,1,15.48913043
312620,127306,8,6,202311,567,1,@2523,42.14,MTS,42.14,148838.23,41674.77,1,1,6.229266433
312620,131001,8,6,202310,650,1,@2523,41,TON,41,1043578.12,292201.88,5,1,39.15865366
312620,134203,8,6,202311,829,1,@2523,41.7,TON,41.7,233259.37,65312.63,1,1,6.74758731
