start_pin,destination_pin,bharat_sir_eway_data_mar24_050424.origin_from_state,bharat_sir_eway_data_mar24_050424.destination_from_state,bharat_sir_eway_data_mar24_050424.rtn_period,travel_distance,bharat_sir_eway_data_mar24_050424.transport_mode,bharat_sir_eway_data_mar24_050424.hsn_code_4d,quantity,bharat_sir_eway_data_mar24_050424.unit_quantity_code,Quantity (In TON),amount,bharat_sir_eway_data_mar24_050424.total_tax,bharat_sir_eway_data_mar24_050424.ewbs_count,bharat_sir_eway_data_mar24_050424.supplier_gstin_cnt,Cost pre Km per TON
341026,321602,8,8,202403,427,1,@2523,4,TON,4,23937.5,6702.5,1,1,14.01492974
342606,110094,8,7,202403,583,1,@2523,14,MTS,14,342779.44,95978.26,2,1,41.99699093
342606,422113,8,27,202403,1010,1,@2523,30,MTS,30,760389.32,212909.02,2,1,25.0953571
342902,262902,8,99,202403,955,1,@2523,22.5,TON,22.5,257131.76,0,1,1,11.96657405
360311,388220,24,24,202403,328,1,@2523,17,MTS,17,90312.5,25287.5,1,1,16.19664634
360311,391240,24,24,202403,362,1,@2523,9,MTS,9,44296.92,12403.14,1,1,13.59635359
360311,393145,24,24,202403,417,1,@2523,40.02,MTS,40.02,213642.96,59820.04,1,1,12.80192997
360550,382765,24,24,202403,351,1,@2523,30,MTS,30,157031.24,43968.76,1,1,14.91274834
361140,382430,24,24,202403,353,1,@2523,42,MTS,42,210000,58800,1,1,14.16430595
362275,380013,24,24,202403,425,1,@2523,28.99,MTS,28.99,156274.22,43756.78,1,1,12.68382363
362275,382421,24,24,202403,449,1,@2523,29.52,MTS,29.52,156825,43911,1,1,11.83184855
362715,410206,24,27,202403,962,1,@2523,34.62,TON,34.62,2963572.48,829800.4,22,1,88.984306
363621,384220,24,24,202403,312,1,@2523,230,BAG,11.5,38789.5,10861.06,1,1,10.81089744
365560,382210,24,24,202403,307,1,@2523,34.75,MTS,34.75,187324.39,52450.84,1,1,17.55905514
365560,388320,24,24,202403,318,1,@2523,29.6,MTS,29.6,326525.3,91427.12,2,1,34.68949728
365560,388320,24,24,202403,318,1,@2523,29.87,MTS,29.87,659007.48,184522.16,4,1,69.37899451
370511,382007,24,24,202403,506,1,@2523,35.82,MTS,35.82,380587.5,106564.52,2,1,20.99802372
370511,382421,24,24,202403,475,1,@2523,35.55,MTS,35.55,188859.38,52880.64,1,1,11.18421082
370511,382421,24,24,202403,475,1,@2523,35.65,MTS,35.65,189390.63,53029.38,1,1,11.18421082
370511,382481,24,24,202403,489,1,@2523,29.69,MTS,29.69,157728.13,44163.88,1,1,10.86400852
370511,391240,24,24,202403,633,1,@2523,35,MTS,35,381881.5,0,2,1,17.23680885
370655,360006,24,24,202403,368,1,@2523,42,TON,42,1880086.16,0,10,2,121.6411853
370655,380001,24,24,202403,457,1,@2523,36.94,TON,36.94,196243.74,54948.26,1,1,11.62472588
370655,380016,24,24,202403,462,1,@2523,41.8,TON,41.8,444098.44,124347.56,2,1,22.99646016
370655,380038,24,24,202403,484,1,@2523,12,TON,12,58977.6,0,1,1,10.15454545
388245,396125,24,24,202403,311,1,@2523,32.57,MTS,32.57,185750.94,52010.28,1,1,18.33803818
388255,396001,24,24,202403,327,1,@2523,32,TON,32,290534,45500,2,1,27.76509939
388710,421303,24,27,202403,448,1,@2523,33.59,MTS,33.59,198181.01,55490.68,1,1,13.16964352
390021,370511,24,24,202403,601,1,@2523,0.2,MTS,0.2,1371.88,384.14,1,1,11.41331115
400095,425412,27,27,202403,399,1,@2523,480,BAG,24,158400,44352,1,1,16.54135338
401305,424001,27,27,202403,345,1,@2523,640,Bag,32,1459200,408576,8,1,132.173913
413001,416509,27,27,202403,336,1,@2523,33.44,MTS,33.44,175037.67,49010.56,1,1,15.57851215
415523,413524,27,27,202403,339,1,@2523,409,BAG,20.45,132925,37219,1,1,19.1740413
425309,422403,27,27,202403,302,1,@2523,26,MTS,26,142188.8,39812.86,1,1,18.10860927
431001,431602,27,27,202403,324,1,@2523,600,BAG,30,195000,54600,1,1,20.0617284
442502,431506,27,27,202403,487,1,@2523,32,TON,32,716500,200620,4,1,45.97664271
442908,431154,27,27,202403,562,1,@2523,29.66,TON,29.66,141348.44,39577.56,1,1,8.479759936
442908,431540,27,27,202403,372,1,@2523,26,MTS,26,132031.38,36968.8,1,1,13.6508871
442908,431709,27,27,202403,301,1,@2523,31,MTS,31,159843.75,44756.26,1,1,17.13039867
442908,444203,27,27,202403,468,1,@2523,41,TON,41,230625,64575,1,1,12.01923077
442908,444401,27,27,202403,431,1,@2523,43,TON,43,241875,67725,1,1,13.05104408
442908,444905,27,27,202403,328,1,@2523,30.75,TON,30.75,148945.32,41704.68,1,1,14.76753123
442916,441901,27,27,202403,305,1,@2523,31,MTS,31,2298359.44,643540.56,13,1,243.0840233
444601,401602,27,27,202403,671,1,@2523,765,BAG,38.25,195075,54621,1,1,7.600596125
445304,431401,27,27,202403,375,1,@2523,37.76,MTS,37.76,179950,50386,1,1,12.70833333
445304,444001,27,27,202403,369,1,@2523,43,MTS,43,517849,0,4,1,32.63685637
454446,392012,23,24,202403,311,1,@2523,41.93,MTS,41.93,416024.43,116486.85,2,1,31.90315125
454446,392130,23,24,202403,333,1,@2523,41.37,MTS,41.37,217839.11,60994.96,1,1,15.81270248
454446,394115,23,24,202403,320,1,@2523,41.41,MTS,41.41,464568.86,130079.3,2,1,35.05862563
454446,394190,23,24,202403,350,1,@2523,41.7,MTS,41.7,235865.63,66042.38,1,1,16.16071463
454446,394230,23,24,202403,418,1,@2523,41.22,MTS,41.22,233150.63,65282.18,1,1,13.53169885
454446,394510,23,24,202403,446,1,@2523,34.62,MTS,34.62,184219.94,51581.59,1,1,11.93094144
454446,395006,23,24,202403,359,1,@2523,30,MTS,30,1108592.7,310405.97,7,1,102.9333983
454446,395007,23,24,202403,433,1,@2523,39.66,MTS,39.66,120844.02,33836.33,1,1,7.036951501
454446,396155,23,24,202403,502,1,@2523,4.88,MTS,4.88,25772.5,7216.3,1,1,10.52041833
454446,464228,23,23,202403,429,1,@2523,36,MTS,36,1674000,468720,8,1,108.3916084
454446,465691,23,23,202403,340,1,@2523,21,MTS,21,241500,67620,2,1,33.82352941
458441,462030,23,23,202403,380,1,@2523,35,TON,35,506953.12,53746.88,4,1,38.11677594
458470,201010,23,9,202403,638,2,@2523,65.9,MTS,65.9,1221227.16,341943.62,4,1,29.0462694
458470,201010,23,9,202403,638,2,@2523,659,MTS,659,5908066.8,1654258.72,2,1,14.05203762
458470,247001,23,9,202403,870,2,@2523,153,MTS,153,1515841.38,424435.6,2,1,11.38788506
466001,141010,23,3,202403,1194,1,@2523,2500,KGS,2.5,21800,6104,2,1,7.30318258
470661,461001,23,23,202403,324,1,@2523,32,TON,32,160750,45010,1,1,15.50443673
481001,465691,23,23,202403,626,1,@2523,1730,BAG,86.5,459539.9,128671.18,1,1,8.48658147
483880,227409,23,9,202403,359,2,@2523,758.67,TON,758.67,4558307.86,1276326.2,2,1,16.73617828
483880,227409,23,9,202403,381,1,@2523,42.09,TON,42.09,407696.04,114154.88,4,1,25.42333919
483880,227409,23,9,202403,381,1,@2523,42.11,TON,42.11,713807.08,199865.96,7,1,44.49084294
483880,227409,23,9,202403,381,1,@2523,45.48,TON,45.48,220266.28,61674.56,2,1,12.71166929
483880,461111,23,23,202403,410,1,@2523,45,TON,45,378088.44,0,3,1,20.49259837
483880,480990,23,23,202403,303,1,@2523,35,TON,35,374062.5,104737.5,2,1,35.27227723
483880,481001,23,23,202403,368,1,@2523,41,TON,41,203942.2,0,1,1,13.51684783
483880,821105,23,10,202403,380,1,@2523,43.33,TON,43.33,502628,140735.84,4,1,30.52631579
483880,821105,23,10,202403,380,1,@2523,44.23,TON,44.23,128267,35914.76,1,1,7.631578947
