start_pin,destination_pin,bharat_sir_eway_data_jun23_jul23_020424.origin_from_state,bharat_sir_eway_data_jun23_jul23_020424.destination_from_state,bharat_sir_eway_data_jun23_jul23_020424.rtn_period,travel_distance,bharat_sir_eway_data_jun23_jul23_020424.transport_mode,bharat_sir_eway_data_jun23_jul23_020424.hsn_code_4d,quantity,bharat_sir_eway_data_jun23_jul23_020424.unit_quantity_code,Quantity (in TON),amount,bharat_sir_eway_data_jun23_jul23_020424.total_tax,bharat_sir_eway_data_jun23_jul23_020424.ewbs_count,bharat_sir_eway_data_jun23_jul23_020424.supplier_gstin_cnt,Cost pre Km per TON
306107,335804,8,8,202306,418,1,@2523,46.57,MTS,46.57,1303960,0,8,1,66.98564593
306107,335804,8,8,202306,418,1,@2523,46.65,MTS,46.65,489825,0,3,1,25.11961722
306107,335804,8,8,202307,418,1,@2523,47.35,MTS,47.35,497175,0,3,1,25.11961722
306107,343041,8,8,202307,414,1,@2523,28,MTS,28,318499,89179.72,2,1,27.47575914
306107,345001,8,8,202307,464,1,@2523,18,MTS,18,111656,31263.68,1,1,13.36877395
306107,390022,8,24,202306,569,2,@2523,127.8,MTS,127.8,1252440,350683.2,2,1,17.22319859
306107,243636,9,9,202306,600,1,@2523,840,Bag,42,223125,62475,1,1,8.854166667
306107,281204,9,9,202306,560,1,@2523,840,bag,42,223125,62475,1,1,9.486607143
306308,124106,8,6,202307,504,1,@2523,43.19,MTS,43.19,239569.53,67079.47,1,1,11.00570431
306308,125050,8,6,202307,666,1,@2523,10,MTS,10,38500,10780,1,1,5.780780781
306308,127306,8,6,202306,471,1,@2523,39.01,MTS,39.01,235867.26,66042.74,2,1,12.83721469
306308,250345,8,9,202306,592,1,@2523,34,MTS,34,199218.75,55781.25,1,1,9.897592905
306308,301404,8,8,202306,406,1,@2523,43,MTS,43,232468.74,65091.26,1,1,13.31588613
306308,301412,8,8,202307,400,1,@2523,22,MTS,22,236156.24,66123.76,2,1,26.83593636
306308,301704,8,8,202307,412,1,@2523,10,MTS,10,55625,15575,1,1,13.50121359
306308,343040,8,8,202306,346,1,@2523,5,MTS,5,29140.62,8159.38,1,1,16.84428902
306308,344001,8,8,202307,305,1,@2523,40,MTS,40,230624.8,64575,1,1,18.90367213
306308,345028,8,8,202307,392,1,@2523,15,MTS,15,80156.24,22443.76,1,1,13.63201361
306308,385001,8,24,202307,355,1,@2523,24,MTS,24,68322.96,19130.43,1,1,8.019126761
306709,142056,3,3,202306,649,1,@2523,42.36,MTS,42.36,167322,46850.16,1,1,6.086286595
306709,132107,8,6,202307,591,1,@2523,41.66,MTS,41.66,279122,78154.16,2,1,11.33671743
306709,303313,8,8,202306,337,1,@2523,15,MTS,15,347343.9,97256.32,4,1,68.71293769
306709,313027,8,8,202306,329,1,@2523,5,TON,5,22027.17,0,1,1,13.3903769
306709,321605,8,8,202306,381,1,@2523,10,TON,10,61093.74,17106.26,1,1,16.03510236
306709,326502,8,8,202307,397,1,@2523,14,TON,14,164281.24,45998.76,2,1,29.55761785
306709,326519,8,8,202307,362,1,@2523,24,TON,24,412125,115395,3,1,47.43611878
306709,334604,8,8,202307,360,1,@2523,25,MTS,25,150390.75,42109.42,1,1,16.71008333
306709,335502,8,8,202306,415,1,@2523,26,TON,26,162093.74,45386.26,1,1,15.02258943
306709,335803,8,8,202306,450,1,@2523,42,MTS,42,420000,117600,2,1,22.22222222
306709,345021,8,8,202306,304,1,@2523,4,TON,4,39875,11165,2,1,32.79194079
306709,382870,8,24,202306,477,1,@2523,17,TON,17,109437.5,30642.5,1,1,13.49580713
306709,454660,8,23,202307,463,1,@2523,43,TON,43,199284.36,55799.62,1,1,10.00976242
307019,132001,8,6,202306,823,1,@2523,42,MTS,42,991186.56,277532.24,7,1,28.67518834
307019,184101,8,1,202307,1214,1,@2523,41.94,MTS,41.94,167760,46972.8,1,1,3.294892916
307019,304021,8,8,202306,513,1,@2523,40,MTS,40,725994,0,6,1,35.37982456
307019,326502,8,8,202307,449,1,@2523,32,MTS,32,186490.24,0,2,1,12.97955457
307019,335523,8,8,202307,697,1,@2523,20,MTS,20,123125,34475,1,1,8.832496413
307019,341027,8,8,202306,369,1,@2523,25,MTS,25,145703.12,40796.88,1,1,15.79437615
307019,341551,8,8,202307,456,1,@2523,10,MTS,10,111093.74,31106.24,2,1,24.36266228
307019,345027,8,8,202307,431,1,@2523,40.87,MTS,40.87,213928.9,59900.1,1,1,12.14472122
307019,370201,8,24,202307,404,1,@2523,12,MTS,12,76875,21525,1,1,15.85705446
307019,390020,8,24,202306,353,1,@2523,34.26,MTS,34.26,204489.37,57257.02,1,1,16.90863981
307019,394405,8,24,202306,469,1,@2523,34.6,MTS,34.6,109006.95,30521.95,1,1,6.71746244
307031,344501,8,8,202306,441,1,@2523,35,MTS,35,684141.15,191559.54,3,1,44.32401361
307031,387370,8,24,202307,321,1,@2523,35.18,MTS,35.18,200636.11,56178.12,1,1,17.76675982
312021,201304,8,9,202307,568,1,@2523,42,TON,42,375375,105105,2,1,15.73503521
312021,229303,8,9,202307,825,2,@2523,1043.88,TON,1043.88,4512693.24,1263554.11,1,1,5.24
312021,250002,8,9,202306,677,2,@2523,62.9,TON,62.9,329366.42,92222.6,1,1,7.734638227
312021,281203,8,9,202307,614,1,@2523,42.5,TON,42.5,455223.03,127462.45,2,1,17.44483733
312021,304023,8,8,202306,309,1,@2523,10,TON,10,53906.24,15093.76,1,1,17.44538511
312021,325220,8,8,202307,312,1,@2523,13,TON,13,71906.24,20133.76,1,1,17.72836292
312021,335523,8,8,202306,562,1,@2523,35,TON,35,622890.62,174409.38,3,1,31.66703711
312021,382210,8,24,202307,400,1,@2523,41.5,TON,41.5,593674.52,166228.86,3,1,35.7635253
312021,385535,8,24,202306,368,1,@2523,35,TON,35,393640.62,110219.38,2,1,30.56215994
312021,396463,8,24,202307,592,1,@2523,42,TON,42,945000,264600,4,1,38.00675676
312021,452020,8,23,202306,377,1,@2523,41,TON,41,339531.26,95068.74,2,1,21.96618102
312601,110044,8,7,202306,615,1,@2523,39.98,MTS,39.98,215517,60344.81,1,1,8.765236277
312601,124146,8,6,202307,575,2,@2523,3967.4,MTS,3967.4,35706600,9997848,3,1,15.65217391
312601,301411,8,8,202306,571,1,@2523,15,MTS,15,89063,24937.5,1,1,10.39848219
312601,302001,8,8,202307,349,1,@2523,40.9,MTS,40.9,217281,60838.76,1,1,15.22204552
312601,303303,8,8,202307,408,1,@2523,34.5,MTS,34.5,222939,0,1,1,15.83823529
312601,303328,8,8,202306,355,1,@2523,34.5,MTS,34.5,187055,52375.32,1,1,15.27291284
312601,303503,8,8,202306,421,1,@2523,42,MTS,42,1846115,64128.76,7,1,104.4064585
312601,304801,8,8,202306,365,1,@2523,35,MTS,35,187852,52598.44,1,1,14.70465753
312601,321023,8,8,202307,656,1,@2523,11,MTS,11,258672,72428.14,4,1,35.84700665
312601,328021,8,8,202307,571,1,@2523,45.3,MTS,45.3,254813,71347.5,1,1,9.851157684
312601,328024,8,8,202306,616,1,@2523,11,MTS,11,115672,32388.14,2,1,17.07083825
312601,331505,8,8,202307,441,1,@2523,42,MTS,42,234938,65782.5,1,1,12.68426736
312601,333001,8,8,202306,516,1,@2523,10,MTS,10,128804,16056.26,2,1,24.9620155
312601,334023,8,8,202306,663,1,@2523,1,MTS,1,6192,0,1,1,9.339366516
312601,341504,8,8,202307,315,1,@2523,17.5,MTS,17.5,109922,30778.12,1,1,19.94049887
312601,363641,8,24,202306,618,1,@2523,44.6,MTS,44.6,250875,70245,1,1,9.101941748
312601,380001,8,24,202306,387,1,@2523,30.38,MTS,30.38,332282,93038.76,2,1,28.26233769
312601,380005,8,24,202306,384,1,@2523,35.72,MTS,35.72,195344,54696.25,1,1,14.24155468
312601,382240,8,24,202307,462,1,@2523,44.64,MTS,44.64,247613,69331.5,1,1,12.00624719
312601,382610,8,24,202307,369,1,@2523,41,MTS,41,166018,46485.05,1,1,10.97349461
312601,387355,8,24,202307,441,1,@2523,42,MTS,42,6980796,1954623.11,36,1,376.8921283
312601,389001,8,24,202306,389,1,@2523,44,MTS,44,438694,122834.34,2,1,25.630638
312601,389360,8,24,202307,441,1,@2523,25.22,MTS,25.22,139892,39169.81,1,1,12.57793099
312601,394410,8,24,202307,623,1,@2523,39.82,MTS,39.82,227098,63587.56,1,1,9.154276104
312601,396421,8,24,202306,664,1,@2523,39.4,MTS,39.4,467876,131005,2,1,17.88407437
312601,425404,8,27,202307,468,2,@2523,3815.44,MTS,3815.44,34338960,9614908.5,3,1,19.23076923
312601,462001,8,23,202306,419,1,@2523,45.86,MTS,45.86,236466,66210.38,1,1,12.30610543
312601,465674,8,23,202306,414,1,@2523,33,MTS,33,350626,98175,2,1,25.6643244
312601,473551,8,23,202307,435,1,@2523,39.24,MTS,39.24,208463,58369.5,1,1,12.21267297
312617,110039,8,7,202307,625,1,@2523,42,TON,42,450843.75,126236.25,3,1,17.175
312617,125110,8,6,202306,686,1,@2523,44,TON,44,274312.5,76807.5,1,1,9.088010204
312617,302027,8,8,202306,374,1,@2523,43,TON,43,141678.28,0,1,1,8.809742569
312617,303301,8,8,202307,375,1,@2523,44.14,TON,44.14,427606.24,119729.76,2,1,25.83333273
312617,303303,8,8,202307,403,1,@2523,45,TON,45,162660.94,0,1,1,8.969448029
312617,303805,8,8,202307,376,1,@2523,43.14,TON,43.14,215700,60396,1,1,13.29787234
312617,307514,8,8,202307,307,1,@2523,25,TON,25,573828.13,160671.9,4,1,74.76588013
312617,321606,8,8,202306,492,1,@2523,7.5,TON,7.5,46406.25,12993.76,1,1,12.57621951
