start_pin,destination_pin,bharat_sir_eway_data_aug23_sep23_020424.origin_from_state,bharat_sir_eway_data_aug23_sep23_020424.destination_from_state,bharat_sir_eway_data_aug23_sep23_020424.rtn_period,travel_distance,bharat_sir_eway_data_aug23_sep23_020424.transport_mode,bharat_sir_eway_data_aug23_sep23_020424.hsn_code_4d,quantity,bharat_sir_eway_data_aug23_sep23_020424.unit_quantity_code,Quantity (in TON),amount,bharat_sir_eway_data_aug23_sep23_020424.total_tax,bharat_sir_eway_data_aug23_sep23_020424.ewbs_count,bharat_sir_eway_data_aug23_sep23_020424.supplier_gstin_cnt,Cost pre Km per TON
307019,395003,8,24,202308,498,1,@2523,40.94,MTS,40.94,517135.25,144797.88,5,1,25.36453827
307031,387370,8,24,202309,321,1,@2523,41.74,MTS,41.74,238048.65,66653.63,1,1,17.76676041
312021,245207,8,9,202308,646,1,@2523,10,TON,10,60625,16975,1,1,9.384674923
312021,249204,8,5,202309,810,1,@2523,42,TON,42,250687.5,70192.5,1,1,7.36882716
312021,335803,8,8,202309,658,1,@2523,7,TON,7,39265.62,10994.38,1,1,8.524884933
312021,343001,8,8,202308,364,1,@2523,35,TON,35,1499412.6,0,13,1,117.6932967
312021,387130,8,24,202308,392,1,@2523,40.64,TON,40.64,222250,62230,1,1,13.95089286
312021,395005,8,24,202309,634,1,@2523,42.04,TON,42.04,236475,66213,1,1,8.872239748
312021,454116,8,23,202308,369,1,@2523,20,TON,20,116562.5,32637.5,1,1,15.79437669
312601,110044,8,7,202308,614,1,@2523,39.77,MTS,39.77,226813,63507.72,1,1,9.288465681
312601,110056,8,7,202309,612,1,@2523,39.43,MTS,39.43,234116,65552.38,1,1,9.701812926
312601,301411,8,6,202309,571,1,@2523,43,MTS,43,208281,58318.75,1,1,8.482914511
312601,302001,8,8,202309,348,1,@2523,45.58,MTS,45.58,231461,64809.06,1,1,14.59231716
312601,303108,8,8,202309,451,1,@2523,43.5,MTS,43.5,231094,64706.26,1,1,11.7793919
312601,303303,8,8,202309,408,1,@2523,41.5,MTS,41.5,151475,42413,1,1,8.946078431
312601,321203,8,8,202308,560,1,@2523,21.2,MTS,21.2,129519,36265.26,1,1,10.90961927
312601,332311,8,8,202309,481,1,@2523,15,MTS,15,96563,27037.5,1,1,13.38364518
312601,333021,8,8,202309,491,1,@2523,30,MTS,30,346407,96993.76,2,1,23.51710794
312601,343049,8,8,202308,373,1,@2523,13,MTS,13,625625,175175.04,8,1,129.0214477
312601,344702,8,8,202309,550,1,@2523,16.5,MTS,16.5,213211,59699.06,2,1,23.49432507
312601,380002,8,24,202308,385,1,@2523,30.39,MTS,30.39,166195,46534.69,1,1,14.20451875
312601,389350,8,24,202308,427,1,@2523,39.69,MTS,39.69,232559,65116.4,1,1,13.72221367
312601,393110,8,24,202308,479,1,@2523,38.5,MTS,38.5,219570,61479.69,1,1,11.90629829
312601,394516,8,24,202308,655,1,@2523,44.67,MTS,44.67,275698,77195.34,1,1,9.422721672
312601,476224,8,23,202308,578,1,@2523,22,MTS,22,124094,34746.25,1,1,9.758886442
312617,302026,8,8,202308,328,1,@2523,43.61,TON,43.61,211235.94,59146.06,1,1,14.76753066
312617,322024,8,8,202309,383,1,@2523,20,TON,20,127187.5,35612.5,1,1,16.60411227
312617,332001,8,8,202308,450,1,@2523,22,TON,22,281875,78925,2,1,28.47222222
312617,332702,8,8,202309,380,1,@2523,43.88,TON,43.88,215971.88,60472.12,1,1,12.95230293
312617,332713,8,8,202308,493,1,@2523,39.18,TON,39.18,189778.12,53137.88,1,1,9.825050451
312617,342603,8,8,202308,342,1,@2523,5,TON,5,31796.88,8903.12,1,1,18.59466667
312617,382010,8,24,202308,367,1,@2523,44.27,TON,44.27,245560.16,68756.84,1,1,15.11410105
312617,382210,8,24,202309,412,1,@2523,45,TON,45,648281.23,181518.77,4,1,34.96662513
312617,387370,8,24,202308,436,1,@2523,44.16,TON,44.16,241500,67620,1,1,12.54300459
312620,110041,8,7,202308,620,1,@2523,39.28,TON,39.28,432080,120982.4,2,1,17.74193548
312620,122105,8,6,202309,551,1,@2523,30,TON,30,389531.25,109068.75,2,1,23.56510889
312620,124001,8,6,202309,617,1,@2523,25,TON,25,173046.88,48453.13,1,1,11.21859838
312620,125111,8,6,202308,750,1,@2523,30,TON,30,194062.5,54337.5,1,1,8.625
312620,126102,8,6,202308,669,1,@2523,42.5,TON,42.5,1660156.22,464843.78,10,1,58.38938609
312620,127306,8,6,202308,567,1,@2523,39.29,MTS,39.29,121209.3,33938.7,1,1,5.440901397
312620,127306,8,6,202308,567,1,@2523,40.45,MTS,40.45,124788.29,34940.71,1,1,5.440918852
312620,245101,8,9,202309,710,1,@2523,43.5,TON,43.5,152929.69,42820.31,1,1,4.951584588
312620,303007,8,8,202309,319,1,@2523,39.64,MTS,39.64,151746.88,42489.12,1,1,12.00039224
312620,322201,8,8,202308,466,1,@2523,43,TON,43,134442.18,0,1,1,6.709361214
312620,343032,8,8,202308,376,1,@2523,37,MTS,37,216218.74,60541.26,1,1,15.54188758
312620,385330,8,24,202309,410,1,@2523,7,MTS,7,41890.62,11729.38,1,1,14.59603484
312620,385535,8,24,202308,376,1,@2523,39,TON,39,213281.25,59718.75,1,1,14.54454787
312620,394510,8,24,202309,660,1,@2523,44.76,TON,44.76,255271.87,71476.13,1,1,8.641098316
312620,465110,8,23,202309,328,1,@2523,30,MTS,30,172968.35,48431.25,1,1,17.57808435
312620,466651,8,23,202308,435,1,@2523,32,MTS,32,368000.96,103040,2,1,26.43685057
312622,203131,8,9,202309,694,1,@2523,42,MTS,42,1009276.8,282597.55,5,1,34.6259366
312622,303108,8,8,202308,433,1,@2523,40.21,MTS,40.21,219898.44,61571.58,1,1,12.62990776
313001,335001,8,8,202309,813,1,@2523,10,MTS,10,1045936.99,292862.38,19,1,128.6515363
